"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Italy (IT)","04.11.2017 08:00 - 04.11.2017 09:00 (CET/CEST)","373","n/e","209","8613","2943","148","n/e","n/e","673","67","1","1738","268","n/e","n/e","7682","n/e","2773","49","n/e","565"
"Italy (IT)","04.11.2017 09:00 - 04.11.2017 10:00 (CET/CEST)","375","n/e","214","8780","2849","166","n/e","n/e","671","0","207","1842","344","n/e","n/e","8572","n/e","4005","47","n/e","466"
"Italy (IT)","04.11.2017 10:00 - 04.11.2017 11:00 (CET/CEST)","373","n/e","207","8634","3075","207","n/e","n/e","670","0","465","1584","194","n/e","n/e","8912","n/e","4767","44","n/e","486"
"Italy (IT)","04.11.2017 11:00 - 04.11.2017 12:00 (CET/CEST)","372","n/e","217","8224","3069","260","n/e","n/e","669","0","342","1496","175","n/e","n/e","9061","n/e","5038","42","n/e","478"
"Italy (IT)","04.11.2017 12:00 - 04.11.2017 13:00 (CET/CEST)","370","n/e","224","7741","2880","274","n/e","n/e","668","0","209","1142","34","n/e","n/e","8759","n/e","5133","41","n/e","527"
"Italy (IT)","04.11.2017 13:00 - 04.11.2017 14:00 (CET/CEST)","370","n/e","223","7726","2649","307","n/e","n/e","666","0","211","1072","35","n/e","n/e","8331","n/e","4447","43","n/e","595"
"Italy (IT)","04.11.2017 14:00 - 04.11.2017 15:00 (CET/CEST)","370","n/e","232","8327","2599","310","n/e","n/e","666","0","409","1048","44","n/e","n/e","8465","n/e","3215","42","n/e","648"
"Italy (IT)","04.11.2017 15:00 - 04.11.2017 16:00 (CET/CEST)","370","n/e","234","9452","2884","340","n/e","n/e","665","0","388","1368","179","n/e","n/e","9024","n/e","1599","43","n/e","653"
"Italy (IT)","04.11.2017 16:00 - 04.11.2017 17:00 (CET/CEST)","369","n/e","236","9641","3026","283","n/e","n/e","665","160","","1755","518","n/e","n/e","9192","n/e","227","45","n/e","619"
"Italy (IT)","04.11.2017 17:00 - 04.11.2017 18:00 (CET/CEST)","375","n/e","214","10129","3039","347","n/e","n/e","666","510","","2717","689","n/e","n/e","9955","n/e","0","47","n/e","724"
"Italy (IT)","04.11.2017 18:00 - 04.11.2017 19:00 (CET/CEST)","376","n/e","218","10046","2933","337","n/e","n/e","665","650","","3200","673","n/e","n/e","9730","n/e","0","44","n/e","679"
"Italy (IT)","04.11.2017 19:00 - 04.11.2017 20:00 (CET/CEST)","375","n/e","209","10085","2982","332","n/e","n/e","667","705","","3123","523","n/e","n/e","9463","n/e","0","42","n/e","682"
"Italy (IT)","04.11.2017 20:00 - 04.11.2017 21:00 (CET/CEST)","373","n/e","211","9858","2969","391","n/e","n/e","669","467","","2700","500","n/e","n/e","8966","n/e","0","44","n/e","734"
"Italy (IT)","04.11.2017 21:00 - 04.11.2017 22:00 (CET/CEST)","375","n/e","217","9820","2997","353","n/e","n/e","668","235","","1816","239","n/e","n/e","8299","n/e","0","44","n/e","786"
"Italy (IT)","04.11.2017 22:00 - 04.11.2017 23:00 (CET/CEST)","373","n/e","240","8993","3055","363","n/e","n/e","667","0","1","1307","47","n/e","n/e","8026","n/e","0","42","n/e","916"
"Italy (IT)","04.11.2017 23:00 - 05.11.2017 00:00 (CET/CEST)","372","n/e","229","8021","2949","333","n/e","n/e","667","1","1","1147","33","n/e","n/e","7695","n/e","0","43","n/e","1051"
"Italy (IT)","05.11.2017 00:00 - 05.11.2017 01:00 (CET/CEST)","370","n/e","223","7302","3194","82","n/e","n/e","669","1","1","1099","53","n/e","n/e","7260","n/e","0","45","n/e","1061"
"Italy (IT)","05.11.2017 01:00 - 05.11.2017 02:00 (CET/CEST)","373","n/e","226","6123","3426","68","n/e","n/e","669","127","650","1025","23","n/e","n/e","6889","n/e","0","48","n/e","1071"
"Italy (IT)","05.11.2017 02:00 - 05.11.2017 03:00 (CET/CEST)","375","n/e","225","5625","3409","59","n/e","n/e","670","0","768","901","23","n/e","n/e","6472","n/e","0","51","n/e","1124"
"Italy (IT)","05.11.2017 03:00 - 05.11.2017 04:00 (CET/CEST)","374","n/e","225","5266","3346","59","n/e","n/e","670","0","920","877","23","n/e","n/e","6021","n/e","0","48","n/e","1141"
"Italy (IT)","05.11.2017 04:00 - 05.11.2017 05:00 (CET/CEST)","373","n/e","225","5385","3246","59","n/e","n/e","669","0","920","879","22","n/e","n/e","5838","n/e","0","48","n/e","1202"
"Italy (IT)","05.11.2017 05:00 - 05.11.2017 06:00 (CET/CEST)","375","n/e","225","5857","3432","59","n/e","n/e","669","0","916","969","65","n/e","n/e","6106","n/e","0","49","n/e","1300"
"Italy (IT)","05.11.2017 06:00 - 05.11.2017 07:00 (CET/CEST)","360","n/e","225","5638","3536","59","n/e","n/e","669","0","261","1124","65","n/e","n/e","6215","n/e","24","46","n/e","1404"
"Italy (IT)","05.11.2017 07:00 - 05.11.2017 08:00 (CET/CEST)","359","n/e","225","5902","3300","59","n/e","n/e","668","4","257","1316","172","n/e","n/e","6054","n/e","718","48","n/e","1594"
"Italy (IT)","05.11.2017 08:00 - 05.11.2017 09:00 (CET/CEST)","364","n/e","226","6143","3309","59","n/e","n/e","666","0","347","1458","291","n/e","n/e","6456","n/e","2065","46","n/e","1736"
"Italy (IT)","05.11.2017 09:00 - 05.11.2017 10:00 (CET/CEST)","370","n/e","226","6463","3462","58","n/e","n/e","663","0","224","1510","167","n/e","n/e","6867","n/e","3164","48","n/e","1756"
"Italy (IT)","05.11.2017 10:00 - 05.11.2017 11:00 (CET/CEST)","377","n/e","225","6450","3585","59","n/e","n/e","657","0","29","1503","114","n/e","n/e","7254","n/e","4636","50","n/e","1873"
"Italy (IT)","05.11.2017 11:00 - 05.11.2017 12:00 (CET/CEST)","378","n/e","225","6405","3708","59","n/e","n/e","664","0","1","1567","105","n/e","n/e","7638","n/e","3955","50","n/e","2044"
"Italy (IT)","05.11.2017 12:00 - 05.11.2017 13:00 (CET/CEST)","381","n/e","230","6222","3616","59","n/e","n/e","660","228","1","2002","305","n/e","n/e","7247","n/e","2652","49","n/e","2596"
"Italy (IT)","05.11.2017 13:00 - 05.11.2017 14:00 (CET/CEST)","381","n/e","230","6130","3409","59","n/e","n/e","624","20","12","1773","213","n/e","n/e","6373","n/e","2451","49","n/e","3107"
"Italy (IT)","05.11.2017 14:00 - 05.11.2017 15:00 (CET/CEST)","388","n/e","230","6229","3434","58","n/e","n/e","625","0","70","1534","75","n/e","n/e","6618","n/e","2029","51","n/e","3036"
