"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","27.12.2017 13:00 - 27.12.2017 14:00 (CET)","0","5073","73","1106","8909","190","n/e","n/e","n/e","386","","327","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1658"
"BZN|PL","27.12.2017 14:00 - 27.12.2017 15:00 (CET)","0","5180","71","1111","9047","180","n/e","n/e","n/e","28","","338","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1964"
"BZN|PL","27.12.2017 15:00 - 27.12.2017 16:00 (CET)","0","4969","70","1233","9090","194","n/e","n/e","n/e","0","","342","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2535"
"BZN|PL","27.12.2017 16:00 - 27.12.2017 17:00 (CET)","0","4943","70","1540","8806","180","n/e","n/e","n/e","523","","342","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2953"
"BZN|PL","27.12.2017 17:00 - 27.12.2017 18:00 (CET)","0","5072","70","1582","9003","201","n/e","n/e","n/e","847","","342","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3116"
"BZN|PL","27.12.2017 18:00 - 27.12.2017 19:00 (CET)","0","5086","69","1590","8872","204","n/e","n/e","n/e","737","","342","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3134"
"BZN|PL","27.12.2017 19:00 - 27.12.2017 20:00 (CET)","0","4982","69","1584","8591","204","n/e","n/e","n/e","809","","342","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3132"
"BZN|PL","27.12.2017 20:00 - 27.12.2017 21:00 (CET)","0","4852","70","1534","8155","205","n/e","n/e","n/e","750","","325","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2938"
"BZN|PL","27.12.2017 21:00 - 27.12.2017 22:00 (CET)","0","4634","71","1488","7870","205","n/e","n/e","n/e","198","","316","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2793"
"BZN|PL","27.12.2017 22:00 - 27.12.2017 23:00 (CET)","0","4295","72","1202","7927","203","n/e","n/e","n/e","65","","294","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2645"
"BZN|PL","27.12.2017 23:00 - 28.12.2017 00:00 (CET)","0","3486","70","1188","7665","200","n/e","n/e","n/e","0","","292","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2609"
"BZN|PL","28.12.2017 00:00 - 28.12.2017 01:00 (CET)","0","3839","70","1103","7714","198","n/e","n/e","n/e","0","","295","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2578"
"BZN|PL","28.12.2017 01:00 - 28.12.2017 02:00 (CET)","0","3410","71","1094","7648","195","n/e","n/e","n/e","0","","291","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2499"
"BZN|PL","28.12.2017 02:00 - 28.12.2017 03:00 (CET)","0","3310","72","1076","7530","195","n/e","n/e","n/e","0","","291","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2427"
"BZN|PL","28.12.2017 03:00 - 28.12.2017 04:00 (CET)","0","3360","73","1086","7513","195","n/e","n/e","n/e","0","","291","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2282"
"BZN|PL","28.12.2017 04:00 - 28.12.2017 05:00 (CET)","0","3554","75","1094","7600","193","n/e","n/e","n/e","0","","290","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2148"
"BZN|PL","28.12.2017 05:00 - 28.12.2017 06:00 (CET)","0","3757","75","1102","7974","192","n/e","n/e","n/e","0","","290","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1872"
"BZN|PL","28.12.2017 06:00 - 28.12.2017 07:00 (CET)","0","4180","75","1219","8100","194","n/e","n/e","n/e","0","","291","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1884"
"BZN|PL","28.12.2017 07:00 - 28.12.2017 08:00 (CET)","0","5148","77","1504","8525","195","n/e","n/e","n/e","0","","293","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1891"
"BZN|PL","28.12.2017 08:00 - 28.12.2017 09:00 (CET)","0","5222","78","1504","8628","196","n/e","n/e","n/e","18","","301","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1845"
"BZN|PL","28.12.2017 09:00 - 28.12.2017 10:00 (CET)","0","5402","75","1548","9261","201","n/e","n/e","n/e","73","","327","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1767"
"BZN|PL","28.12.2017 10:00 - 28.12.2017 11:00 (CET)","0","5481","76","1548","9294","202","n/e","n/e","n/e","170","","335","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1619"
"BZN|PL","28.12.2017 11:00 - 28.12.2017 12:00 (CET)","0","5561","75","1439","9379","203","n/e","n/e","n/e","362","","336","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1505"
"BZN|PL","28.12.2017 12:00 - 28.12.2017 13:00 (CET)","0","5452","76","1436","9247","201","n/e","n/e","n/e","514","","342","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1488"
"BZN|PL","28.12.2017 13:00 - 28.12.2017 14:00 (CET)","0","5404","76","1435","9212","199","n/e","n/e","n/e","524","","343","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1516"
"BZN|PL","28.12.2017 14:00 - 28.12.2017 15:00 (CET)","0","5383","75","1424","9430","185","n/e","n/e","n/e","190","","343","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1609"
