"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FR","30.06.2017 20:00 - 30.06.2017 21:00 (CET)","310","n/e","n/e","2186","374","271","n/e","n/e","n/e","1273","","4738","1846","n/e","38158","n/e","n/e","274","255","n/e","2668"
"BZN|FR","30.06.2017 21:00 - 30.06.2017 22:00 (CET)","307","n/e","n/e","1975","346","270","n/e","n/e","n/e","339","","4588","1693","n/e","37821","n/e","n/e","90","259","n/e","2573"
"BZN|FR","30.06.2017 22:00 - 30.06.2017 23:00 (CET)","307","n/e","n/e","1942","460","270","n/e","n/e","n/e","1852","","4583","2197","n/e","36954","n/e","n/e","0","259","n/e","2642"
"BZN|FR","30.06.2017 23:00 - 01.07.2017 00:00 (CET)","306","n/e","n/e","1965","513","270","n/e","n/e","n/e","2404","","4560","2451","n/e","36199","n/e","n/e","0","256","n/e","2706"
"BZN|FR","01.07.2017 00:00 - 01.07.2017 01:00 (CET)","306","n/e","n/e","1840","382","271","n/e","n/e","n/e","440","","4337","1487","n/e","34827","n/e","n/e","0","266","n/e","2768"
"BZN|FR","01.07.2017 01:00 - 01.07.2017 02:00 (CET)","306","n/e","n/e","1922","299","271","n/e","n/e","n/e","","567","4275","1126","n/e","33702","n/e","n/e","0","269","n/e","2763"
"BZN|FR","01.07.2017 02:00 - 01.07.2017 03:00 (CET)","308","n/e","n/e","1895","318","271","n/e","n/e","n/e","","828","4225","929","n/e","33326","n/e","n/e","0","267","n/e","2740"
"BZN|FR","01.07.2017 03:00 - 01.07.2017 04:00 (CET)","307","n/e","n/e","1704","349","273","n/e","n/e","n/e","","1871","4022","796","n/e","32690","n/e","n/e","0","270","n/e","2610"
"BZN|FR","01.07.2017 04:00 - 01.07.2017 05:00 (CET)","306","n/e","n/e","1782","382","273","n/e","n/e","n/e","","1852","3891","798","n/e","32318","n/e","n/e","0","263","n/e","2635"
"BZN|FR","01.07.2017 05:00 - 01.07.2017 06:00 (CET)","307","n/e","n/e","1765","366","272","n/e","n/e","n/e","","1827","3949","757","n/e","32498","n/e","n/e","49","263","n/e","2559"
"BZN|FR","01.07.2017 06:00 - 01.07.2017 07:00 (CET)","308","n/e","n/e","1728","338","273","n/e","n/e","n/e","","1736","4190","704","n/e","32755","n/e","n/e","132","260","n/e","2582"
"BZN|FR","01.07.2017 07:00 - 01.07.2017 08:00 (CET)","303","n/e","n/e","1873","386","273","n/e","n/e","n/e","","1549","4474","769","n/e","33485","n/e","n/e","417","257","n/e","2636"
"BZN|FR","01.07.2017 08:00 - 01.07.2017 09:00 (CET)","308","n/e","n/e","1995","339","271","n/e","n/e","n/e","","557","4536","945","n/e","34117","n/e","n/e","995","255","n/e","2899"
