"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CH","23.08.2017 09:00 - 23.08.2017 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1430","","77","1504","n/e","2067","n/e","n/e","131","n/e","n/e","2"
"BZN|CH","23.08.2017 10:00 - 23.08.2017 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1391","","77","1516","n/e","2061","n/e","n/e","186","n/e","n/e","2"
"BZN|CH","23.08.2017 11:00 - 23.08.2017 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1163","","78","1331","n/e","2048","n/e","n/e","234","n/e","n/e","1"
"BZN|CH","23.08.2017 12:00 - 23.08.2017 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","891","","78","1297","n/e","2033","n/e","n/e","257","n/e","n/e","1"
"BZN|CH","23.08.2017 13:00 - 23.08.2017 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","610","","79","1189","n/e","2025","n/e","n/e","254","n/e","n/e","3"
"BZN|CH","23.08.2017 14:00 - 23.08.2017 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","622","","79","961","n/e","2014","n/e","n/e","245","n/e","n/e","7"
"BZN|CH","23.08.2017 15:00 - 23.08.2017 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","557","","79","842","n/e","2008","n/e","n/e","227","n/e","n/e","9"
"BZN|CH","23.08.2017 16:00 - 23.08.2017 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","820","","79","1232","n/e","2001","n/e","n/e","183","n/e","n/e","8"
"BZN|CH","23.08.2017 17:00 - 23.08.2017 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1523","","79","1567","n/e","1999","n/e","n/e","127","n/e","n/e","6"
"BZN|CH","23.08.2017 18:00 - 23.08.2017 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2478","","78","1992","n/e","1996","n/e","n/e","67","n/e","n/e","4"
