"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CZ","06.02.2017 16:00 - 06.02.2017 17:00 (CET)","229","4588","215","1004","887","5","n/e","n/e","n/e","0","0","82","107","n/e","3007","120","294","13","16","n/e","23"
"BZN|CZ","06.02.2017 17:00 - 06.02.2017 18:00 (CET)","230","4615","214","1027","889","5","n/e","n/e","n/e","70","0","79","129","n/e","3008","117","289","0","16","n/e","24"
"BZN|CZ","06.02.2017 18:00 - 06.02.2017 19:00 (CET)","234","4631","213","1034","890","5","n/e","n/e","n/e","608","0","79","129","n/e","3007","118","292","0","16","n/e","24"
"BZN|CZ","06.02.2017 19:00 - 06.02.2017 20:00 (CET)","234","4612","213","1030","890","5","n/e","n/e","n/e","580","0","85","37","n/e","3007","117","293","0","16","n/e","20"
"BZN|CZ","06.02.2017 20:00 - 06.02.2017 21:00 (CET)","234","4485","217","1035","879","5","n/e","n/e","n/e","229","0","87","25","n/e","3008","115","292","0","16","n/e","19"
"BZN|CZ","06.02.2017 21:00 - 06.02.2017 22:00 (CET)","238","4424","208","989","869","5","n/e","n/e","n/e","1","0","87","25","n/e","3007","110","290","0","16","n/e","19"
"BZN|CZ","06.02.2017 22:00 - 06.02.2017 23:00 (CET)","240","4384","209","432","868","5","n/e","n/e","n/e","0","0","87","24","n/e","3008","98","286","0","16","n/e","17"
"BZN|CZ","06.02.2017 23:00 - 07.02.2017 00:00 (CET)","241","4439","219","259","869","5","n/e","n/e","n/e","0","0","87","19","n/e","3008","99","285","0","16","n/e","14"
"BZN|CZ","07.02.2017 00:00 - 07.02.2017 01:00 (CET)","249","4366","223","258","874","5","n/e","n/e","n/e","0","1","86","14","n/e","3006","97","284","0","16","n/e","14"
"BZN|CZ","07.02.2017 01:00 - 07.02.2017 02:00 (CET)","252","4398","222","260","871","5","n/e","n/e","n/e","0","859","86","14","n/e","3008","97","285","0","16","n/e","11"
"BZN|CZ","07.02.2017 02:00 - 07.02.2017 03:00 (CET)","251","4379","219","256","870","5","n/e","n/e","n/e","0","1106","86","14","n/e","3007","97","284","0","16","n/e","11"
"BZN|CZ","07.02.2017 03:00 - 07.02.2017 04:00 (CET)","251","4329","220","256","870","5","n/e","n/e","n/e","0","1101","86","14","n/e","3007","97","283","0","16","n/e","11"
"BZN|CZ","07.02.2017 04:00 - 07.02.2017 05:00 (CET)","251","4414","224","261","867","5","n/e","n/e","n/e","0","1091","86","14","n/e","3008","99","284","0","16","n/e","12"
"BZN|CZ","07.02.2017 05:00 - 07.02.2017 06:00 (CET)","252","4408","217","500","848","5","n/e","n/e","n/e","0","306","85","18","n/e","3007","102","285","0","16","n/e","12"
"BZN|CZ","07.02.2017 06:00 - 07.02.2017 07:00 (CET)","252","4582","219","887","849","5","n/e","n/e","n/e","0","5","86","23","n/e","3007","115","292","0","16","n/e","11"
"BZN|CZ","07.02.2017 07:00 - 07.02.2017 08:00 (CET)","252","4817","209","1040","860","5","n/e","n/e","n/e","352","0","81","91","n/e","3007","116","292","2","16","n/e","10"
"BZN|CZ","07.02.2017 08:00 - 07.02.2017 09:00 (CET)","253","4812","208","1044","879","5","n/e","n/e","n/e","345","0","77","176","n/e","3008","115","287","54","16","n/e","7"
"BZN|CZ","07.02.2017 09:00 - 07.02.2017 10:00 (CET)","250","4783","211","1044","882","5","n/e","n/e","n/e","408","0","80","88","n/e","3007","119","286","167","16","n/e","6"
"BZN|CZ","07.02.2017 10:00 - 07.02.2017 11:00 (CET)","250","4788","211","1045","893","5","n/e","n/e","n/e","376","0","82","78","n/e","3010","116","282","269","16","n/e","7"
"BZN|CZ","07.02.2017 11:00 - 07.02.2017 12:00 (CET)","251","4765","212","1045","892","5","n/e","n/e","n/e","320","0","81","84","n/e","3010","116","286","361","16","n/e","10"
"BZN|CZ","07.02.2017 12:00 - 07.02.2017 13:00 (CET)","254","4748","212","1039","894","5","n/e","n/e","n/e","294","0","79","128","n/e","3009","116","288","410","16","n/e","10"
"BZN|CZ","07.02.2017 13:00 - 07.02.2017 14:00 (CET)","251","4740","212","1044","886","5","n/e","n/e","n/e","184","0","80","77","n/e","3010","117","289","385","16","n/e","13"
"BZN|CZ","07.02.2017 14:00 - 07.02.2017 15:00 (CET)","251","4678","214","1025","884","5","n/e","n/e","n/e","43","0","81","76","n/e","3009","116","289","281","16","n/e","16"
"BZN|CZ","07.02.2017 15:00 - 07.02.2017 16:00 (CET)","253","4719","214","1043","888","5","n/e","n/e","n/e","42","0","88","16","n/e","3009","115","289","150","16","n/e","20"
"BZN|CZ","07.02.2017 16:00 - 07.02.2017 17:00 (CET)","253","4731","215","1047","884","5","n/e","n/e","n/e","30","0","82","67","n/e","3008","117","291","28","16","n/e","21"
"BZN|CZ","07.02.2017 17:00 - 07.02.2017 18:00 (CET)","253","4739","213","1046","881","5","n/e","n/e","n/e","561","0","75","187","n/e","3011","120","293","0","16","n/e","21"
"BZN|CZ","07.02.2017 18:00 - 07.02.2017 19:00 (CET)","253","4810","219","1048","881","5","n/e","n/e","n/e","603","0","75","197","n/e","3010","120","295","0","16","n/e","22"
"BZN|CZ","07.02.2017 19:00 - 07.02.2017 20:00 (CET)","254","4886","219","1047","885","5","n/e","n/e","n/e","352","0","79","80","n/e","3010","120","295","0","16","n/e","22"
"BZN|CZ","07.02.2017 20:00 - 07.02.2017 21:00 (CET)","253","4769","214","835","853","5","n/e","n/e","n/e","5","0","84","28","n/e","3013","119","294","0","16","n/e","20"
"BZN|CZ","07.02.2017 21:00 - 07.02.2017 22:00 (CET)","250","4652","217","291","844","5","n/e","n/e","n/e","0","0","84","24","n/e","3012","111","290","0","16","n/e","21"
"BZN|CZ","07.02.2017 22:00 - 07.02.2017 23:00 (CET)","250","4438","220","276","855","5","n/e","n/e","n/e","0","0","85","17","n/e","3012","100","286","0","16","n/e","15"
"BZN|CZ","07.02.2017 23:00 - 08.02.2017 00:00 (CET)","252","4479","225","261","870","5","n/e","n/e","n/e","0","1","85","17","n/e","3014","100","285","0","16","n/e","13"
"BZN|CZ","08.02.2017 00:00 - 08.02.2017 01:00 (CET)","252","4441","222","260","872","5","n/e","n/e","n/e","0","534","86","13","n/e","3010","98","286","0","16","n/e","15"
"BZN|CZ","08.02.2017 01:00 - 08.02.2017 02:00 (CET)","246","4337","221","260","867","5","n/e","n/e","n/e","0","1028","86","13","n/e","3009","97","285","0","16","n/e","13"
"BZN|CZ","08.02.2017 02:00 - 08.02.2017 03:00 (CET)","245","4207","220","261","868","5","n/e","n/e","n/e","0","897","86","13","n/e","3010","97","285","0","16","n/e","15"
"BZN|CZ","08.02.2017 03:00 - 08.02.2017 04:00 (CET)","245","4236","221","264","873","5","n/e","n/e","n/e","0","841","86","13","n/e","3010","98","285","0","16","n/e","13"
"BZN|CZ","08.02.2017 04:00 - 08.02.2017 05:00 (CET)","245","4401","224","267","880","5","n/e","n/e","n/e","0","938","86","13","n/e","3009","99","285","0","16","n/e","14"
"BZN|CZ","08.02.2017 05:00 - 08.02.2017 06:00 (CET)","249","4490","222","501","872","5","n/e","n/e","n/e","0","642","86","14","n/e","3011","102","285","0","16","n/e","13"
"BZN|CZ","08.02.2017 06:00 - 08.02.2017 07:00 (CET)","251","4565","220","895","867","5","n/e","n/e","n/e","0","1","85","28","n/e","3010","115","290","0","16","n/e","11"
"BZN|CZ","08.02.2017 07:00 - 08.02.2017 08:00 (CET)","250","4706","217","1026","872","5","n/e","n/e","n/e","5","0","77","229","n/e","3009","120","290","1","16","n/e","11"
"BZN|CZ","08.02.2017 08:00 - 08.02.2017 09:00 (CET)","247","4745","222","1053","892","5","n/e","n/e","n/e","367","0","75","314","n/e","3010","121","291","47","16","n/e","9"
"BZN|CZ","08.02.2017 09:00 - 08.02.2017 10:00 (CET)","244","4803","236","1076","906","5","n/e","n/e","n/e","364","0","75","299","n/e","3011","120","289","131","16","n/e","9"
"BZN|CZ","08.02.2017 10:00 - 08.02.2017 11:00 (CET)","243","4812","229","1077","896","5","n/e","n/e","n/e","327","0","77","200","n/e","3010","120","288","227","16","n/e","8"
"BZN|CZ","08.02.2017 11:00 - 08.02.2017 12:00 (CET)","245","4799","229","1072","899","5","n/e","n/e","n/e","372","0","78","179","n/e","3010","121","289","298","16","n/e","7"
"BZN|CZ","08.02.2017 12:00 - 08.02.2017 13:00 (CET)","244","4747","223","1055","891","5","n/e","n/e","n/e","76","0","87","25","n/e","3010","121","290","338","16","n/e","6"
"BZN|CZ","08.02.2017 13:00 - 08.02.2017 14:00 (CET)","244","4740","221","1047","893","5","n/e","n/e","n/e","90","0","85","26","n/e","3009","119","291","308","16","n/e","11"
"BZN|CZ","08.02.2017 14:00 - 08.02.2017 15:00 (CET)","245","4704","220","1037","887","5","n/e","n/e","n/e","221","0","85","25","n/e","3007","119","290","219","16","n/e","13"
"BZN|CZ","08.02.2017 15:00 - 08.02.2017 16:00 (CET)","245","4765","218","1041","890","5","n/e","n/e","n/e","201","0","86","25","n/e","3009","121","293","116","16","n/e","14"
"BZN|CZ","08.02.2017 16:00 - 08.02.2017 17:00 (CET)","249","4840","220","1040","890","5","n/e","n/e","n/e","253","0","86","30","n/e","3008","122","294","28","16","n/e","15"
"BZN|CZ","08.02.2017 17:00 - 08.02.2017 18:00 (CET)","250","4867","221","1037","890","5","n/e","n/e","n/e","427","0","75","225","n/e","3007","123","295","0","16","n/e","15"
"BZN|CZ","08.02.2017 18:00 - 08.02.2017 19:00 (CET)","252","4930","221","1047","895","5","n/e","n/e","n/e","438","0","75","206","n/e","3009","124","296","0","16","n/e","15"
"BZN|CZ","08.02.2017 19:00 - 08.02.2017 20:00 (CET)","251","4799","219","1044","896","5","n/e","n/e","n/e","546","0","75","200","n/e","3009","123","296","0","16","n/e","16"
"BZN|CZ","08.02.2017 20:00 - 08.02.2017 21:00 (CET)","251","4779","219","1043","885","5","n/e","n/e","n/e","489","0","77","134","n/e","3009","123","297","0","16","n/e","16"
"BZN|CZ","08.02.2017 21:00 - 08.02.2017 22:00 (CET)","251","4750","214","1036","878","5","n/e","n/e","n/e","152","0","85","20","n/e","3012","116","294","0","16","n/e","15"
"BZN|CZ","08.02.2017 22:00 - 08.02.2017 23:00 (CET)","252","4822","226","1034","881","5","n/e","n/e","n/e","144","0","85","18","n/e","3012","102","290","0","16","n/e","13"
"BZN|CZ","08.02.2017 23:00 - 09.02.2017 00:00 (CET)","252","4809","222","1015","879","5","n/e","n/e","n/e","0","76","85","17","n/e","3011","101","288","0","16","n/e","13"
"BZN|CZ","09.02.2017 00:00 - 09.02.2017 01:00 (CET)","252","4810","226","1003","879","5","n/e","n/e","n/e","0","853","85","17","n/e","3011","99","287","0","16","n/e","12"
"BZN|CZ","09.02.2017 01:00 - 09.02.2017 02:00 (CET)","252","4809","223","976","878","5","n/e","n/e","n/e","0","1112","85","17","n/e","3011","99","288","0","16","n/e","11"
"BZN|CZ","09.02.2017 02:00 - 09.02.2017 03:00 (CET)","251","4795","226","984","875","5","n/e","n/e","n/e","0","1112","86","16","n/e","3012","99","287","0","16","n/e","12"
"BZN|CZ","09.02.2017 03:00 - 09.02.2017 04:00 (CET)","251","4796","223","935","874","5","n/e","n/e","n/e","0","1105","86","16","n/e","3011","98","287","0","16","n/e","14"
