"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","03.01.2017 15:00 - 03.01.2017 16:00 (CET)","317","n/e","n/e","130","352","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","370","514"
"BZN|DK2","03.01.2017 16:00 - 03.01.2017 17:00 (CET)","317","n/e","n/e","130","333","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","80","366","509"
"BZN|DK2","03.01.2017 17:00 - 03.01.2017 18:00 (CET)","323","n/e","n/e","129","308","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","366","538"
"BZN|DK2","03.01.2017 18:00 - 03.01.2017 19:00 (CET)","304","n/e","n/e","129","288","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","364","535"
"BZN|DK2","03.01.2017 19:00 - 03.01.2017 20:00 (CET)","300","n/e","n/e","127","285","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","364","530"
"BZN|DK2","03.01.2017 20:00 - 03.01.2017 21:00 (CET)","305","n/e","n/e","126","287","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","365","525"
"BZN|DK2","03.01.2017 21:00 - 03.01.2017 22:00 (CET)","300","n/e","n/e","127","289","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","362","516"
"BZN|DK2","03.01.2017 22:00 - 03.01.2017 23:00 (CET)","301","n/e","n/e","123","281","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","79","347","504"
"BZN|DK2","03.01.2017 23:00 - 04.01.2017 00:00 (CET)","308","n/e","n/e","97","240","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","78","364","512"
"BZN|DK2","04.01.2017 00:00 - 04.01.2017 01:00 (CET)","309","n/e","n/e","66","223","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","364","523"
"BZN|DK2","04.01.2017 01:00 - 04.01.2017 02:00 (CET)","300","n/e","n/e","36","192","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","363","533"
"BZN|DK2","04.01.2017 02:00 - 04.01.2017 03:00 (CET)","304","n/e","n/e","35","138","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","358","511"
"BZN|DK2","04.01.2017 03:00 - 04.01.2017 04:00 (CET)","302","n/e","n/e","38","139","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","361","517"
"BZN|DK2","04.01.2017 04:00 - 04.01.2017 05:00 (CET)","302","n/e","n/e","41","175","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","357","532"
"BZN|DK2","04.01.2017 05:00 - 04.01.2017 06:00 (CET)","310","n/e","n/e","35","222","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","355","534"
"BZN|DK2","04.01.2017 06:00 - 04.01.2017 07:00 (CET)","313","n/e","n/e","41","315","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","285","529"
"BZN|DK2","04.01.2017 07:00 - 04.01.2017 08:00 (CET)","317","n/e","n/e","69","369","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","361","519"
"BZN|DK2","04.01.2017 08:00 - 04.01.2017 09:00 (CET)","310","n/e","n/e","107","352","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","365","511"
"BZN|DK2","04.01.2017 09:00 - 04.01.2017 10:00 (CET)","300","n/e","n/e","124","348","6","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5","67","361","506"
"BZN|DK2","04.01.2017 10:00 - 04.01.2017 11:00 (CET)","313","n/e","n/e","130","350","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12","78","364","517"
"BZN|DK2","04.01.2017 11:00 - 04.01.2017 12:00 (CET)","311","n/e","n/e","132","346","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","79","365","470"
"BZN|DK2","04.01.2017 12:00 - 04.01.2017 13:00 (CET)","291","n/e","n/e","119","375","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","19","79","365","441"
"BZN|DK2","04.01.2017 13:00 - 04.01.2017 14:00 (CET)","303","n/e","n/e","128","425","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12","80","360","440"
"BZN|DK2","04.01.2017 14:00 - 04.01.2017 15:00 (CET)","300","n/e","n/e","131","479","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9","80","359","398"
"BZN|DK2","04.01.2017 15:00 - 04.01.2017 16:00 (CET)","303","n/e","n/e","131","497","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","76","343","308"
"BZN|DK2","04.01.2017 16:00 - 04.01.2017 17:00 (CET)","308","n/e","n/e","132","594","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","73","314","275"
"BZN|DK2","04.01.2017 17:00 - 04.01.2017 18:00 (CET)","305","n/e","n/e","131","587","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","255","277"
"BZN|DK2","04.01.2017 18:00 - 04.01.2017 19:00 (CET)","305","n/e","n/e","132","592","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","74","243","313"
"BZN|DK2","04.01.2017 19:00 - 04.01.2017 20:00 (CET)","315","n/e","n/e","132","634","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","224","315"
"BZN|DK2","04.01.2017 20:00 - 04.01.2017 21:00 (CET)","312","n/e","n/e","131","609","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","263","324"
