Scenario,Region,Year,Parameter,Unit,Value,Source,Comment
ALL,ALL,ALL,Storage_Amortisation_Electricity_LiIonBatteryStorage,a,25,Cebulla 2017,
ALL,ALL,ALL,Storage_Amortisation_H2_CavernCharge,a,30,PLANET 2014,p.84
ALL,ALL,ALL,Storage_Amortisation_H2_CavernDischarge,a,30,PLANET 2014,p.85
ALL,ALL,ALL,Storage_Amortisation_H2_CavernStorage,a,30,PLANET 2014,p.88
ALL,ALL,ALL,Storage_Amortisation_H2_TankStorage,a,15,Fette 2020,
ALL,ALL,ALL,Storage_Amortisation_Heat_Large,a,25,DEA 2016a,p.50
ALL,ALL,ALL,Storage_Amortisation_Heat_Small,a,30,DEA 2016a,p.66
ALL,ALL,ALL,Storage_Availability_Electricity_LiIonBattery,percent,98,Cebulla 2018,
ALL,ALL,ALL,Storage_Availability_H2_Cavern,percent,95,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_Electricity_LiIonBatteryCharge,Eur/MW (el),50000,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_Electricity_LiIonBatteryDischarge,Eur/MW (el),0,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_Electricity_LiIonBatteryStorage,Eur/GWh (el),150000000,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_H2_CavernCharge,Eur/MW (el),305000,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_H2_CavernDischarge,Eur/MW (el),850000,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_H2_CavernStorage,Eur/GWh (chem),1000000,Cebulla 2017,
ALL,ALL,ALL,Storage_Capex_H2_TankCharge,Eur/MW (chem),300000,Fette 2020,
ALL,ALL,ALL,Storage_Capex_H2_TankDischarge,Eur/MW (chem),300000,Fette 2020,
ALL,ALL,ALL,Storage_Capex_H2_TankStorage,Eur/GWh (chem),7000000,Fette 2020,
ALL,ALL,ALL,Storage_Capex_Heat_LargeCharge,Eur/MW (th),0,Own assumption,
ALL,ALL,ALL,Storage_Capex_Heat_LargeDischarge,Eur/MW (th),0,Own assumption,
ALL,ALL,ALL,Storage_Capex_Heat_LargeStorage,Eur/GWh (th),470000,DEA 2016a,p.50
ALL,ALL,ALL,Storage_Capex_Heat_SmallCharge,Eur/MW (th),0,Own assumption,
ALL,ALL,ALL,Storage_Capex_Heat_SmallDischarge,Eur/MW (th),0,Own assumption,
ALL,ALL,ALL,Storage_Capex_Heat_SmallStorage,Eur/GWh (th),130000000,DEA 2016a,p.66
ALL,ALL,ALL,Storage_Eta_Electricity_LiIonBatteryCharge,percent,97,Cebulla 2017,
ALL,ALL,ALL,Storage_Eta_Electricity_LiIonBatteryDischarge,percent,97,Cebulla 2017,
ALL,ALL,ALL,Storage_Eta_H2_CavernCharge,percent,73,Cebulla 2017,
ALL,ALL,ALL,Storage_Eta_H2_CavernDischarge,percent,60,Cebulla 2017,
ALL,ALL,ALL,Storage_Eta_H2_TankCharge,percent,97.76,Noack 2015,
ALL,ALL,ALL,Storage_Eta_H2_TankDischarge,percent,97.76,Noack 2015,
ALL,ALL,ALL,Storage_Eta_Heat_LargeCharge,percent,100,DEA 2016a,p.50
ALL,ALL,ALL,Storage_Eta_Heat_LargeDischarge,percent,100,DEA 2016a,p.50
ALL,ALL,ALL,Storage_Eta_Heat_SmallCharge,percent,100,DEA 2016a,p.66
ALL,ALL,ALL,Storage_Eta_Heat_SmallDischarge,percent,100,DEA 2016a,p.66
ALL,ALL,ALL,Storage_FixOM_Electricity_LiIonBattery,percent Inv./a,0.22,DEA 2018,p. 134
ALL,ALL,ALL,Storage_FixOM_H2_Cavern,percent Inv./a,1.6,PLANET 2014,p.92
ALL,ALL,ALL,Storage_FixOM_H2_Tank,percent Inv./a,2,Fette 2020,
ALL,ALL,ALL,Storage_FixOM_Heat_Large,percent Inv./a,0,DEA 2018,p.50
ALL,ALL,ALL,Storage_FixOM_Heat_Small,percent Inv./a,12.2,DEA 2018,p.66
ALL,ALL,ALL,Storage_LifeTime_Electricity_LiIonBatteryCharge,a,25,Cebulla 2017,
ALL,ALL,ALL,Storage_LifeTime_Electricity_LiIonBatteryDischarge,a,25,Cebulla 2017,
ALL,ALL,ALL,Storage_LifeTime_Electricity_LiIonBatteryStorage,a,25,Cebulla 2017,
ALL,ALL,ALL,Storage_LifeTime_H2_CavernCharge,a,30,PLANET 2014,p.84
ALL,ALL,ALL,Storage_LifeTime_H2_CavernDischarge,a,30,PLANET 2014,p.85
ALL,ALL,ALL,Storage_LifeTime_H2_CavernStorage,a,30,PLANET 2014,p.88
ALL,ALL,ALL,Storage_LifeTime_H2_TankStorage,a,15,Fette 2020,
ALL,ALL,ALL,Storage_LifeTime_Heat_Large,a,25,DEA 2018,p.50
ALL,ALL,ALL,Storage_LifeTime_Heat_Small,a,30,DEA 2018,p.66
ALL,ALL,ALL,Storage_MinLevel_Electricity_LiIonBattery,GWh (el),0,Own assumption ,
ALL,ALL,ALL,Storage_SelfDischarge_Electricity_LiIonBattery,percent/h,0.0011,Cebulla 2017,
ALL,ALL,ALL,Storage_SelfDischarge_H2_Cavern,percent/h,0,Cebulla 2017,
ALL,ALL,ALL,Storage_SelfDischarge_H2_Tank,percent/h,0,DEA 2018 ,p.91
ALL,ALL,ALL,Storage_SelfDischarge_Heat_Large,percent/h,0.012,DEA 2018,p.50
ALL,ALL,ALL,Storage_SelfDischarge_Heat_Small,percent/h,2.1,DEA 2018,p.66
ALL,ALL,ALL,Storage_StartSpeed_Electricity_LiIonBattery,percent Cap./5min,0,Own assumption ,
ALL,ALL,ALL,Storage_StartSpeed_H2_Cavern,percent Cap./5min,0,Own assumption ,
ALL,ALL,ALL,Storage_StartSpeed_H2_Tank,percent Cap./5min,0,Own assumption ,
ALL,ALL,ALL,Storage_VarOM_Electricity_LiIonBattery,Eur/GWh (el),300,DEA 2018,p.181
ALL,ALL,ALL,Storage_VarOM_H2_Cavern,Eur/GWh (el),1200,Swider 2007,
ALL,ALL,ALL,Storage_VarOM_H2_Tank,Eur/GWh (chem),0,Noack 2015,
ALL,ALL,ALL,Storage_VarOM_Heat_Large,Eur/GWh (input),0,DEA 2018,p.50
ALL,ALL,ALL,Storage_VarOM_Heat_Small,Eur/GWh (input),1200,DEA 2018,p.66
ALL,ALL,ALL,Transmission_Amortisation_Electricity_ACLine,a,40,Dena 2014,p.35
ALL,ALL,ALL,Transmission_Capex_Electricity_Grid,Eur/MW/km,326,BNetzA 2012,Assumption for Transmission line technology 550-A1/71-St1A. Based on own calculation.
ALL,ALL,ALL,Transmission_FixOM_Electricity_Grid,percent Inv./a,1.19,Dena 2014,p.70
ALL,AT_CH,ALL,Transmission_Length_Electricity_Grid,km,340,Own GIS calculations,
ALL,AT_CZ,ALL,Transmission_Length_Electricity_Grid,km,248,Own GIS calculations,
ALL,AT_IT,ALL,Transmission_Length_Electricity_Grid,km,546,Own GIS calculations,
ALL,BE_FR,ALL,Transmission_Length_Electricity_Grid,km,469,Own GIS calculations,
ALL,BE_LU,ALL,Transmission_Length_Electricity_Grid,km,125,Own GIS calculations,
ALL,BE_NL,ALL,Transmission_Length_Electricity_Grid,km,188,Own GIS calculations,
