commissioned;ST_uranium;ST_lignite;ST_hardcoal;CC_natgas;M_natgas;ST_natgas;GT_natgas;M_oil;ST_oil;GT_oil;CC_oil;ST_biomass;GT_biomass;water;ST_mixedfuels;ST_otherfossil;GT_otherfossil;ST_waste
1998;0,33;0,3952;0,42;0,531;0,4392;0,3828;0,3748;0,4392;0,3828;0,3748;0,531;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1999;0,33;0,3976;0,4225;0,5355;0,4406;0,3839;0,3774;0,4406;0,3839;0,3774;0,5355;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2000;0,33;0,4;0,425;0,54;0,442;0,385;0,38;0,442;0,385;0,38;0,54;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2001;0,33;0,4024;0,4275;0,5445;0,4434;0,3861;0,3826;0,4434;0,3861;0,3826;0,5445;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2002;0,33;0,4048;0,43;0,549;0,4448;0,3872;0,3852;0,4448;0,3872;0,3852;0,549;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2003;0,33;0,4072;0,4325;0,5535;0,4462;0,3883;0,3878;0,4462;0,3883;0,3878;0,5535;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2004;0,33;0,4096;0,435;0,558;0,4476;0,3894;0,3904;0,4476;0,3894;0,3904;0,558;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2005;0,33;0,412;0,4375;0,5625;0,449;0,3905;0,393;0,449;0,3905;0,393;0,5625;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2006;0,33;0,4144;0,44;0,567;0,4504;0,3916;0,3956;0,4504;0,3916;0,3956;0,567;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2007;0,33;0,4168;0,4425;0,5715;0,4518;0,3927;0,3982;0,4518;0,3927;0,3982;0,5715;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2008;0,33;0,4192;0,445;0,576;0,4532;0,3938;0,4008;0,4532;0,3938;0,4008;0,576;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2009;0,33;0,4216;0,4475;0,5805;0,4546;0,3949;0,4034;0,4546;0,3949;0,4034;0,5805;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2010;0,33;0,424;0,45;0,585;0,456;0,396;0,406;0,456;0,396;0,406;0,585;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2011;0,33;0,4264;0,4525;0,5895;0,4574;0,3971;0,4086;0,4574;0,3971;0,4086;0,5895;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2012;0,33;0,4288;0,455;0,594;0,4588;0,3982;0,4112;0,4588;0,3982;0,4112;0,594;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2013;0,33;0,4312;0,4575;0,5985;0,4602;0,3993;0,4138;0,4602;0,3993;0,4138;0,5985;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2014;0,33;0,4336;0,46;0,603;0,4616;0,4004;0,4164;0,4616;0,4004;0,4164;0,603;0,38;0,38;0,9;0,4;0,4;0,4;0,4
