label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
DE_transformer_hardcoal_BNA0936,BNA0936,37.6454,hardcoal,DE,0.385,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0969b,BNA0969b,278.3253,hardcoal,DE,0.4025,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0999,BNA0999,176.5153,hardcoal,DE,0.37,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1005,BNA1005,80.3103,hardcoal,DE,0.4525,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1006,BNA1006,123.8117,hardcoal,DE,0.4525,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1046a,BNA1046a,513.6512,hardcoal,DE,0.385,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1061,BNA1061,633.2801,hardcoal,DE,0.4,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1075a,BNA1075a,51.4488,hardcoal,DE,0.425,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1075b,BNA1075b,51.4488,hardcoal,DE,0.425,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1076a,BNA1076a,115.8643,hardcoal,DE,0.3875,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1076b,BNA1076b,115.8643,hardcoal,DE,0.3875,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1084,BNA1084,71.1081,hardcoal,DE,0.405,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
