label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
transformer_natgas_ipp_cluster_25,,1729.433,natgas,DE,0.3678,ipp,1,0.0609,3.7502,1.8335,2.8666,0.9959,0.1281,81.2253,33.3291,19.3596,320,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_ipp_cluster_26,,10937.7244,natgas,DE,0.3463,ipp,1,0.0517,22.8965,9.5586,946.7022,944.9919,944.8815,949.0195,946.6471,946.0953,240,0.5,34.0,0.0,0.2185,0.2185,DE_bus_natgas,DE_bus_el
transformer_oil_emb_cluster_27,,655.1,oil,DE,0.3167,emb,1,0.1572,1.3201,0.2134,0.5707,0.2854,0.1,30.6115,22.4405,16.8201,260,0.5,40.0,0.0,1.0,1.0,DE_bus_oil,DE_bus_el
transformer_oil_emb_cluster_28,,60.0,oil,DE,0.576,emb,1,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20,0.5,34.0,0.0,1.0,1.0,DE_bus_oil,DE_bus_el
transformer_natgas_emb_cluster_30,,477.9904,natgas,DE,0.3414,emb,1,0.1148,2.3806,0.9204,1.1363,0.5682,0.1,52.8475,27.2129,17.8806,260,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_lignite_emb_cluster_31,,5684.103,lignite,DE,0.4543,emb,1,0.0658,4.7124,5.5618,16.1912,4.4247,3.1371,53.6322,39.4112,26.9179,300,0.5,45.0,0.4,0.4688,0.4688,DE_bus_lignite,DE_bus_el
transformer_natgas_emb_cluster_32,,511.7178,natgas,DE,0.4118,emb,1,0.106,3.063,1.3753,21.2207,1.9827,0.6546,60.4982,29.359,20.7199,160,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_hardcoal_emb_cluster_33,,1717.9715,hardcoal,DE,0.4653,emb,1,0.0542,3.7314,6.0542,9.8249,4.4426,3.4594,44.7498,39.5454,27.0746,160,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_hardcoal_emb_cluster_34,,3584.7422,hardcoal,DE,0.4031,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,200,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_waste_chp_cluster_35,,1281.51,waste,DE,0.4,chp,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,1260,0.5,35.0,0.0,1.0,1.0,DE_bus_waste,DE_bus_el
transformer_otherfossil_chp_cluster_36,,105.8,otherfossil,DE,0.4,chp,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,100,0.5,43.0,0.0,1.0,1.0,DE_bus_otherfossil,DE_bus_el
transformer_oil_chp_cluster_37,,531.0,oil,DE,0.3879,chp,1,0.1221,2.1977,0.7985,1.0388,0.5194,0.1,49.0126,26.3898,17.6977,120,0.5,40.0,0.0,1.0,1.0,DE_bus_oil,DE_bus_el
transformer_natgas_chp_cluster_49,,470.2062,natgas,DE,0.5587,chp,1,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,240,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_chp_cluster_50,,492.2547,natgas,DE,0.379,chp,1,0.0645,3.7117,1.8078,5.0213,1.1216,0.1893,79.6841,33.0539,19.559,500,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_chp_cluster_51,,208.1752,natgas,DE,0.4914,chp,1,0.094,3.4607,1.6405,27.9641,2.501,0.8382,65.6049,29.9385,21.121,120,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_natgas_chp_cluster_52,,682.3779,natgas,DE,0.4063,chp,1,0.0593,3.967,1.978,10.5489,1.5266,0.3409,83.2176,33.9501,20.404,420,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_lignite_chp_cluster_53,,5600.281,lignite,DE,0.371,chp,1,0.0602,4.9931,6.988,8.9852,4.9918,3.9933,44.5645,41.9639,28.4794,360,0.5,45.0,0.0,0.2556,0.2556,DE_bus_lignite,DE_bus_el
transformer_lignite_chp_cluster_54,,6858.1054,lignite,DE,0.4448,chp,1,0.0618,4.9079,6.5394,11.3029,4.8158,3.7237,47.4925,41.171,27.9934,340,0.5,45.0,0.0,0.323,0.323,DE_bus_lignite,DE_bus_el
transformer_lignite_chp_cluster_55,,332.3122,lignite,DE,0.5327,chp,1,0.0715,4.2299,3.1497,24.0851,3.1995,1.5727,70.1857,35.2648,23.809,220,0.5,45.0,0.0,0.8285,0.8285,DE_bus_lignite,DE_bus_el
transformer_lignite_chp_cluster_56,,2712.934,lignite,DE,0.366,chp,1,0.0634,4.824,6.1875,12.836,4.6651,3.5141,49.2413,40.3844,27.4979,400,0.5,45.0,0.0,0.3739,0.3739,DE_bus_lignite,DE_bus_el
transformer_natgas_chp_cluster_57,,18.4597,natgas,DE,0.25,chp,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,40,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el
transformer_hardcoal_chp_cluster_58,,3568.8215,hardcoal,DE,0.3984,chp,1,0.0433,3.9609,6.4707,9.0781,4.6372,3.6301,47.7551,41.0314,27.643,700,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_biomass_chp_cluster_59,,4485.7835,biomass,DE,0.4585,chp,1,0.0402,4.0192,6.995,8.8907,4.9213,3.9222,43.7762,41.1858,27.9481,200,0.5,41.0,0.0,1.0,1.0,DE_bus_biomass,DE_bus_el
transformer_hardcoal_chp_cluster_60,,2055.7855,hardcoal,DE,0.4138,chp,1,0.0518,4.0,5.5192,16.4042,4.4077,3.1115,53.8997,39.3345,26.8711,260,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_hardcoal_chp_cluster_61,,1091.467,hardcoal,DE,0.3793,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,200,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
transformer_hardcoal_chp_cluster_62,,2119.0204,hardcoal,DE,0.4388,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,100,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
